"series","date","return"
"BTC",2017-01-01,0.032050717671682
"BTC",2017-01-02,0.0209687321662795
"BTC",2017-01-03,0.0158977998991485
"BTC",2017-01-04,0.0880545062903852
"BTC",2017-01-05,-0.132345455259132
"BTC",2017-01-06,-0.102636830373269
"BTC",2017-01-07,0.00674018706679824
"BTC",2017-01-08,0.00885567150763134
"BTC",2017-01-09,-0.0068577459738659
"BTC",2017-01-10,0.00429353650207887
"BTC",2017-01-11,-0.144010865277874
"BTC",2017-01-12,0.0191329346810569
"BTC",2017-01-13,0.0308798400849328
"BTC",2017-01-14,-0.00812730928629524
"BTC",2017-01-15,0.00498556441689058
"BTC",2017-01-16,0.00775353875012286
"BTC",2017-01-17,0.0876105604033119
"BTC",2017-01-18,-0.0339920386745778
"BTC",2017-01-19,0.02592722136629
"BTC",2017-01-20,-0.00607400155717475
"BTC",2017-01-21,0.0311638431204679
"BTC",2017-01-22,-0.000977655058814975
"BTC",2017-01-23,0.000140054354993424
"BTC",2017-01-24,-0.036706916934798
"BTC",2017-01-25,0.00863846381055833
"BTC",2017-01-26,0.0242004192381815
"BTC",2017-01-27,0.00319309189728045
"BTC",2017-01-28,0.0021294165207042
"BTC",2017-01-29,-0.00665347154017759
"BTC",2017-01-30,0.00746395521960697
"BTC",2017-01-31,0.0500567301307537
"BTC",2017-02-01,0.0187300578158682
"BTC",2017-02-02,0.0218862753263469
"BTC",2017-02-03,0.00695627117321163
"BTC",2017-02-04,0.0177524003111156
"BTC",2017-02-05,-0.0162923710465295
"BTC",2017-02-06,0.00743100472422054
"BTC",2017-02-07,0.0260022040901351
"BTC",2017-02-08,0.00360860241072203
"BTC",2017-02-09,-0.0722907416623082
"BTC",2017-02-10,0.010544442680672
"BTC",2017-02-11,0.0188068033109374
"BTC",2017-02-12,-0.0103631909166886
"BTC",2017-02-13,-0.00442730554297288
"BTC",2017-02-14,0.0139551496527126
"BTC",2017-02-15,-0.00120938287143169
"BTC",2017-02-16,0.0254663823153418
"BTC",2017-02-17,0.0207080654573248
"BTC",2017-02-18,0.00191272553874011
"BTC",2017-02-19,-0.00480893923213621
"BTC",2017-02-20,0.0267064015192942
"BTC",2017-02-21,0.0393196317900779
"BTC",2017-02-22,-0.00187112778476539
"BTC",2017-02-23,0.0540199500741778
"BTC",2017-02-24,-0.0040428811176163
"BTC",2017-02-25,-0.0270090346181542
"BTC",2017-02-26,0.0268413477146163
"BTC",2017-02-27,0.0104950848227281
"BTC",2017-02-28,-0.00234827999483755
"BTC",2017-03-01,0.0307295448926368
"BTC",2017-03-02,0.0278009812948206
"BTC",2017-03-03,0.0215240940311414
"BTC",2017-03-04,-0.0162030147391166
"BTC",2017-03-05,0.00582974494724819
"BTC",2017-03-06,0.00371732375934464
"BTC",2017-03-07,-0.0381340407464874
"BTC",2017-03-08,-0.0700550318263513
"BTC",2017-03-09,0.0355510087361708
"BTC",2017-03-10,-0.0796722230519169
"BTC",2017-03-11,0.071214554185179
"BTC",2017-03-12,0.0409349891368853
"BTC",2017-03-13,0.0102715709409518
"BTC",2017-03-14,0.00264422071587322
"BTC",2017-03-15,0.00950122536616149
"BTC",2017-03-16,-0.0332391306922988
"BTC",2017-03-17,-0.125169842615031
"BTC",2017-03-18,-0.110257724178381
"BTC",2017-03-19,0.0619987843723777
"BTC",2017-03-20,0.0124691135241584
"BTC",2017-03-21,0.0711033034966224
"BTC",2017-03-22,-0.0677238500600676
"BTC",2017-03-23,-0.0103440888351081
"BTC",2017-03-24,-0.090576393172717
"BTC",2017-03-25,0.0265009217837777
"BTC",2017-03-26,-0.011239549710778
"BTC",2017-03-27,0.0883145474335407
"BTC",2017-03-28,0.00202836262103823
"BTC",2017-03-29,-0.00586061056602549
"BTC",2017-03-30,-0.00688303495128118
"BTC",2017-03-31,0.0443550982585235
"BTC",2017-04-01,0.00645086547581553
"BTC",2017-04-02,0.0117391324191907
"BTC",2017-04-03,0.0368690303654899
"BTC",2017-04-04,0.00104334764668312
"BTC",2017-04-05,-0.00717844582772642
"BTC",2017-04-06,0.0531995121383417
"BTC",2017-04-07,-0.00372139868767007
"BTC",2017-04-08,-0.00632715246343807
"BTC",2017-04-09,0.00458065670961449
"BTC",2017-04-10,0.0190280670586871
"BTC",2017-04-11,0.0132148999197241
"BTC",2017-04-12,-0.00680516525065844
"BTC",2017-04-13,-0.0368608941503723
"BTC",2017-04-14,0.00803941399331709
"BTC",2017-04-15,-0.00284601357070535
"BTC",2017-04-16,0.00505951938608984
"BTC",2017-04-17,0.0157505828804734
"BTC",2017-04-18,0.0102670501339954
"BTC",2017-04-19,0.00666396005023717
"BTC",2017-04-20,0.0227326419712881
"BTC",2017-04-21,0.00086372811846136
"BTC",2017-04-22,-0.00424609591470659
"BTC",2017-04-23,-0.00146642152223819
"BTC",2017-04-24,0.00169549576525796
"BTC",2017-04-25,0.0104168814842271
"BTC",2017-04-26,0.0190370657694441
"BTC",2017-04-27,0.0336027597735997
"BTC",2017-04-28,-0.00762109876464034
"BTC",2017-04-29,0.0048936043046881
"BTC",2017-04-30,0.0165825634108119
"BTC",2017-05-01,0.0424658922573489
"BTC",2017-05-02,0.0237146684049394
"BTC",2017-05-03,0.0297641984893371
"BTC",2017-05-04,0.00907322456052562
"BTC",2017-05-05,0.00444786222674232
"BTC",2017-05-06,0.027358046361714
"BTC",2017-05-07,0.00648410288682921
"BTC",2017-05-08,0.0473231256002249
"BTC",2017-05-09,0.0400811699074604
"BTC",2017-05-10,0.0273490973887665
"BTC",2017-05-11,0.034570166670159
"BTC",2017-05-12,-0.0615693618221558
"BTC",2017-05-13,0.0295213114359392
"BTC",2017-05-14,0.00908037371853965
"BTC",2017-05-15,-0.0413350593920212
"BTC",2017-05-16,0.0118303652775058
"BTC",2017-05-17,0.0500770059980988
"BTC",2017-05-18,0.0460074192541189
"BTC",2017-05-19,0.0432412245417524
"BTC",2017-05-20,0.0351196742891249
"BTC",2017-05-21,0.00510522821325132
"BTC",2017-05-22,0.0266716898561263
"BTC",2017-05-23,0.0833294599577439
"BTC",2017-05-24,0.065593746069359
"BTC",2017-05-25,-0.0337132864502596
"BTC",2017-05-26,-0.0452031961580408
"BTC",2017-05-27,-0.0826737686201291
"BTC",2017-05-28,0.0635415657727911
"BTC",2017-05-29,0.0296437368995104
"BTC",2017-05-30,-0.0532792790906589
"BTC",2017-05-31,0.0718314952468546
"BTC",2017-06-01,0.0448999847817335
"BTC",2017-06-02,0.0315933480972008
"BTC",2017-06-03,0.0190333547871351
"BTC",2017-06-04,-0.00239697943126593
"BTC",2017-06-05,0.0626005148707867
"BTC",2017-06-06,0.0646950601546088
"BTC",2017-06-07,-0.0667156907462836
"BTC",2017-06-08,0.039044625219244
"BTC",2017-06-09,-0.00253134732080174
"BTC",2017-06-10,0.0418480148419409
"BTC",2017-06-11,0.0256299871406434
"BTC",2017-06-12,-0.10945665899551
"BTC",2017-06-13,0.0128495233953076
"BTC",2017-06-14,-0.0889156868274945
"BTC",2017-06-15,-0.0238122855456702
"BTC",2017-06-16,0.0279616379822052
"BTC",2017-06-17,0.0653488296336944
"BTC",2017-06-18,-0.0404374477450666
"BTC",2017-06-19,0.0165153463787187
"BTC",2017-06-20,0.0584302064585849
"BTC",2017-06-21,-0.0221271292513849
"BTC",2017-06-22,0.00290673798874597
"BTC",2017-06-23,0.00469882623096129
"BTC",2017-06-24,-0.0445652027679504
"BTC",2017-06-25,-0.00442216278344265
"BTC",2017-06-26,-0.0465904612047163
"BTC",2017-06-27,0.0171951499643122
"BTC",2017-06-28,0.0172671657930321
