"series","date","return"
"USD/TRY",2021-06-10,0.0184469308637447
"USD/TRY",2021-06-11,0.00477276744060307
"USD/TRY",2021-06-14,-0.00913280894353496
"USD/TRY",2021-06-15,-0.0104550442822084
"USD/TRY",2021-06-16,-0.00635581770724247
"USD/TRY",2021-06-17,-0.0123735786986132
"USD/TRY",2021-06-18,-0.00189275590063254
"USD/TRY",2021-06-21,-0.00429985224213336
"USD/TRY",2021-06-22,0.0136608338920583
"USD/TRY",2021-06-23,0.00140073069259694
"USD/TRY",2021-06-24,-0.00781204390640022
"USD/TRY",2021-06-25,-0.00565067150881449
"USD/TRY",2021-06-28,0.00758357284234901
"USD/TRY",2021-06-29,-0.00536379070517867
"USD/TRY",2021-06-30,0.00300569242435733
"USD/TRY",2021-07-01,0.00609642039142821
"USD/TRY",2021-07-02,-0.00327755630970739
"USD/TRY",2021-07-05,0.00185673233946293
"USD/TRY",2021-07-06,-0.00274351757098845
"USD/TRY",2021-07-07,0.000368438630351964
"USD/TRY",2021-07-08,-0.000690711114524678
"USD/TRY",2021-07-09,0.00503006402114758
"USD/TRY",2021-07-12,0.0013541276916551
"USD/TRY",2021-07-13,0.00211007231665139
"USD/TRY",2021-07-14,0.0038839516235587
"USD/TRY",2021-07-15,0.00254319482844068
"USD/TRY",2021-07-16,0.00545815801565119
"USD/TRY",2021-07-19,-0.00653222181555257
"USD/TRY",2021-07-20,0.000852151734565876
"USD/TRY",2021-07-21,0.000607455364870724
"USD/TRY",2021-07-22,0.000479215498350616
"USD/TRY",2021-07-23,0.000760202835326407
"USD/TRY",2021-07-26,-0.000795275172024379
"USD/TRY",2021-07-27,-0.000444143161652644
"USD/TRY",2021-07-28,0.00104054023944355
"USD/TRY",2021-07-29,0.0131048660227218
"USD/TRY",2021-07-30,0.00049790171026487
"USD/TRY",2021-08-02,0.010645436789912
"USD/TRY",2021-08-03,-0.00695085862163669
"USD/TRY",2021-08-04,-0.00835565368376612
"USD/TRY",2021-08-05,-0.0060364842324967
"USD/TRY",2021-08-06,-0.0107352256177169
"USD/TRY",2021-08-09,-0.00323293000544789
"USD/TRY",2021-08-10,0.00532425178544571
"USD/TRY",2021-08-11,-0.00308896695630168
"USD/TRY",2021-08-12,0.00872239041660938
"USD/TRY",2021-08-13,0.00382028730033035
"USD/TRY",2021-08-16,0.00755449936666119
"USD/TRY",2021-08-17,0.00291445228627518
"USD/TRY",2021-08-18,-0.00238195515805195
"USD/TRY",2021-08-19,-0.00535934798696314
"USD/TRY",2021-08-20,0.0010247893894717
"USD/TRY",2021-08-23,0.00786804738113744
"USD/TRY",2021-08-24,0.00271193058100438
"USD/TRY",2021-08-25,0.00330468384335036
"USD/TRY",2021-08-26,-0.00218446254210614
"USD/TRY",2021-08-27,0.00515246299751615
"USD/TRY",2021-08-30,-0.00376833018618017
"USD/TRY",2021-08-31,0.00844160078441991
"USD/TRY",2021-09-01,0.0016269474228352
"USD/TRY",2021-09-02,0.00218547651268874
"USD/TRY",2021-09-03,-0.00386058943217948
"USD/TRY",2021-09-06,0.0033530365511929
"USD/TRY",2021-09-07,-0.00813394129475276
"USD/TRY",2021-09-08,-0.0136871051993359
"USD/TRY",2021-09-09,0.00345762976056951
"USD/TRY",2021-09-10,-0.0029373814485103
"USD/TRY",2021-09-13,0.00424301961618223
"USD/TRY",2021-09-14,-0.000961589902611415
"USD/TRY",2021-09-15,0.000154266965222138
"USD/TRY",2021-09-16,-0.0115396787433575
"USD/TRY",2021-09-17,-0.0121500526880598
"USD/TRY",2021-09-20,-0.0037134124470577
"USD/TRY",2021-09-21,0.00467582620848939
"USD/TRY",2021-09-22,-0.00267623008466034
"USD/TRY",2021-09-23,-0.013685700209789
"USD/TRY",2021-09-24,-0.0131968719470956
"USD/TRY",2021-09-27,0.00723444929484707
"USD/TRY",2021-09-28,-0.00578046099746254
"USD/TRY",2021-09-29,-0.00510779203291722
"USD/TRY",2021-09-30,0.00279817907737057
"USD/TRY",2021-10-01,0.00349465448603148
"USD/TRY",2021-10-04,0.000350138082222617
"USD/TRY",2021-10-05,-0.0018847806763489
"USD/TRY",2021-10-06,-7.89252634540993e-05
"USD/TRY",2021-10-07,-2.25489311813654e-05
"USD/TRY",2021-10-08,-0.0102854909030405
"USD/TRY",2021-10-11,-0.00307514281018317
"USD/TRY",2021-10-12,-0.00499362964115013
